Ground Truth ToA: 132.02822875976562, Coarse ToA: 131.15286254882812
Ground Truth ToA: 132.75726318359375, Coarse ToA: 130.84652709960938
Ground Truth ToA: 63.305999755859375, Coarse ToA: 63.96355056762695
Ground Truth ToA: 140.99673461914062, Coarse ToA: 140.62071228027344
Ground Truth ToA: 83.80392456054688, Coarse ToA: 91.10222625732422
Ground Truth ToA: 83.47968292236328, Coarse ToA: 84.44837188720703
Ground Truth ToA: 102.12715148925781, Coarse ToA: 102.01177215576172
Ground Truth ToA: 90.77578735351562, Coarse ToA: 90.36265563964844
Ground Truth ToA: 148.84254455566406, Coarse ToA: 146.36407470703125
Ground Truth ToA: 121.23731994628906, Coarse ToA: 121.64739227294922
Ground Truth ToA: 117.15867614746094, Coarse ToA: 118.95684814453125
Ground Truth ToA: 64.55658721923828, Coarse ToA: 62.761314392089844
Ground Truth ToA: 137.43856811523438, Coarse ToA: 138.4300537109375
Ground Truth ToA: 68.41255950927734, Coarse ToA: 67.35961151123047
Ground Truth ToA: 97.44526672363281, Coarse ToA: 97.062255859375
Ground Truth ToA: 145.5976104736328, Coarse ToA: 145.6042938232422
Ground Truth ToA: 59.23322296142578, Coarse ToA: 59.86429977416992
Ground Truth ToA: 105.0036392211914, Coarse ToA: 106.04170227050781
Ground Truth ToA: 75.55734252929688, Coarse ToA: 74.261474609375
Ground Truth ToA: 143.403076171875, Coarse ToA: 139.742919921875
Ground Truth ToA: 135.319580078125, Coarse ToA: 133.51316833496094
Ground Truth ToA: 70.7876205444336, Coarse ToA: 67.4644775390625
Ground Truth ToA: 96.33440399169922, Coarse ToA: 99.3776626586914
Ground Truth ToA: 140.34902954101562, Coarse ToA: 139.13990783691406
Ground Truth ToA: 139.64356994628906, Coarse ToA: 137.74366760253906
Ground Truth ToA: 76.82652282714844, Coarse ToA: 78.41264343261719
Ground Truth ToA: 59.160888671875, Coarse ToA: 64.46363067626953
Ground Truth ToA: 110.60780334472656, Coarse ToA: 107.91716766357422
Ground Truth ToA: 146.91934204101562, Coarse ToA: 145.5583953857422
Ground Truth ToA: 70.24313354492188, Coarse ToA: 70.02325439453125
Ground Truth ToA: 85.0232925415039, Coarse ToA: 84.91851806640625
Ground Truth ToA: 53.82032012939453, Coarse ToA: 56.11738586425781
Ground Truth ToA: 107.33922576904297, Coarse ToA: 110.45159149169922
Ground Truth ToA: 63.271820068359375, Coarse ToA: 60.24053955078125
Ground Truth ToA: 135.02206420898438, Coarse ToA: 136.61474609375
Ground Truth ToA: 149.50746154785156, Coarse ToA: 149.97262573242188
Ground Truth ToA: 70.86917114257812, Coarse ToA: 70.09745025634766
Ground Truth ToA: 120.85577392578125, Coarse ToA: 120.15617370605469
Ground Truth ToA: 95.75931549072266, Coarse ToA: 93.69949340820312
Ground Truth ToA: 74.64073944091797, Coarse ToA: 74.87229919433594
Ground Truth ToA: 103.01488494873047, Coarse ToA: 101.99252319335938
Ground Truth ToA: 92.15245819091797, Coarse ToA: 90.50250244140625
Ground Truth ToA: 85.23284149169922, Coarse ToA: 84.69097900390625
Ground Truth ToA: 129.66534423828125, Coarse ToA: 129.0245361328125
Ground Truth ToA: 64.81265258789062, Coarse ToA: 63.306007385253906
Ground Truth ToA: 103.87594604492188, Coarse ToA: 103.57797241210938
Ground Truth ToA: 55.419288635253906, Coarse ToA: 54.310874938964844
Ground Truth ToA: 104.53201293945312, Coarse ToA: 101.84253692626953
Ground Truth ToA: 116.30018615722656, Coarse ToA: 114.90727996826172
Ground Truth ToA: 68.41907501220703, Coarse ToA: 68.06401062011719
Ground Truth ToA: 56.907676696777344, Coarse ToA: 59.184898376464844
Ground Truth ToA: 119.69469451904297, Coarse ToA: 116.18510437011719
Ground Truth ToA: 66.29856872558594, Coarse ToA: 66.22913360595703
Ground Truth ToA: 110.82833862304688, Coarse ToA: 110.72380065917969
Ground Truth ToA: 113.80138397216797, Coarse ToA: 113.82034301757812
Ground Truth ToA: 104.87875366210938, Coarse ToA: 103.58395385742188
Ground Truth ToA: 101.2730484008789, Coarse ToA: 102.01069641113281
Ground Truth ToA: 65.6656723022461, Coarse ToA: 66.76327514648438
Ground Truth ToA: 107.06651306152344, Coarse ToA: 107.58877563476562
Ground Truth ToA: 87.90158081054688, Coarse ToA: 87.1714859008789
Ground Truth ToA: 123.97318267822266, Coarse ToA: 122.28303527832031
Ground Truth ToA: 119.94940185546875, Coarse ToA: 120.43855285644531
Ground Truth ToA: 67.83035278320312, Coarse ToA: 68.05787658691406
Ground Truth ToA: 70.01378631591797, Coarse ToA: 68.3331527709961
Ground Truth ToA: 109.50887298583984, Coarse ToA: 105.58489990234375
Ground Truth ToA: 70.57180786132812, Coarse ToA: 73.28351593017578
Ground Truth ToA: 73.31640625, Coarse ToA: 73.26959228515625
Ground Truth ToA: 129.4128875732422, Coarse ToA: 130.95419311523438
Ground Truth ToA: 70.06045532226562, Coarse ToA: 70.96155548095703
Ground Truth ToA: 53.98444747924805, Coarse ToA: 51.73689651489258
Ground Truth ToA: 71.5162353515625, Coarse ToA: 70.06951141357422
Ground Truth ToA: 84.09850311279297, Coarse ToA: 82.71125030517578
Ground Truth ToA: 66.54828643798828, Coarse ToA: 65.05669403076172
Ground Truth ToA: 87.49050903320312, Coarse ToA: 88.95150756835938
Ground Truth ToA: 141.45028686523438, Coarse ToA: 139.62301635742188
Ground Truth ToA: 105.17828369140625, Coarse ToA: 109.30189514160156
Ground Truth ToA: 94.24369812011719, Coarse ToA: 93.01688385009766
Ground Truth ToA: 65.08221435546875, Coarse ToA: 63.19815444946289
Ground Truth ToA: 71.6839370727539, Coarse ToA: 75.01091003417969
Ground Truth ToA: 54.637306213378906, Coarse ToA: 55.179996490478516
Ground Truth ToA: 76.1148452758789, Coarse ToA: 75.08545684814453
Ground Truth ToA: 71.40426635742188, Coarse ToA: 71.88381958007812
Ground Truth ToA: 122.82401275634766, Coarse ToA: 121.01292419433594
Ground Truth ToA: 77.15538787841797, Coarse ToA: 77.70832824707031
Ground Truth ToA: 132.70700073242188, Coarse ToA: 131.81887817382812
Ground Truth ToA: 106.1615219116211, Coarse ToA: 106.2912368774414
Ground Truth ToA: 105.39763641357422, Coarse ToA: 102.59613800048828
Ground Truth ToA: 77.13387298583984, Coarse ToA: 75.88905334472656
Ground Truth ToA: 93.617431640625, Coarse ToA: 91.9366683959961
Ground Truth ToA: 137.60275268554688, Coarse ToA: 137.87466430664062
Ground Truth ToA: 107.73957824707031, Coarse ToA: 106.79963684082031
Ground Truth ToA: 68.44941711425781, Coarse ToA: 67.38695526123047
Ground Truth ToA: 111.67499542236328, Coarse ToA: 111.40347290039062
Ground Truth ToA: 101.15621185302734, Coarse ToA: 99.10693359375
Ground Truth ToA: 89.6759033203125, Coarse ToA: 89.19831085205078
Ground Truth ToA: 127.60013580322266, Coarse ToA: 125.97581481933594
Ground Truth ToA: 77.97029113769531, Coarse ToA: 78.73892211914062
Ground Truth ToA: 96.49239349365234, Coarse ToA: 96.82681274414062
Ground Truth ToA: 80.26386260986328, Coarse ToA: 81.76075744628906
Ground Truth ToA: 115.0567398071289, Coarse ToA: 115.1419906616211
Ground Truth ToA: 80.09129333496094, Coarse ToA: 80.40570831298828
Ground Truth ToA: 96.67988586425781, Coarse ToA: 94.67951965332031
Ground Truth ToA: 138.00914001464844, Coarse ToA: 137.94004821777344
Ground Truth ToA: 136.90350341796875, Coarse ToA: 140.04132080078125
Ground Truth ToA: 100.93599700927734, Coarse ToA: 101.2326889038086
Ground Truth ToA: 118.95103454589844, Coarse ToA: 117.24673461914062
Ground Truth ToA: 81.12263488769531, Coarse ToA: 81.3803482055664
Ground Truth ToA: 140.6671600341797, Coarse ToA: 135.9964141845703
Ground Truth ToA: 113.84019470214844, Coarse ToA: 115.7685317993164
Ground Truth ToA: 107.56055450439453, Coarse ToA: 108.55304718017578
Ground Truth ToA: 147.95315551757812, Coarse ToA: 144.92581176757812
Ground Truth ToA: 91.08808135986328, Coarse ToA: 89.99543762207031
Ground Truth ToA: 100.48451232910156, Coarse ToA: 105.83030700683594
Ground Truth ToA: 74.85516357421875, Coarse ToA: 78.03691864013672
Ground Truth ToA: 95.8917007446289, Coarse ToA: 96.51757049560547
Ground Truth ToA: 81.75225830078125, Coarse ToA: 81.38701629638672
Ground Truth ToA: 77.87267303466797, Coarse ToA: 77.38706970214844
Ground Truth ToA: 135.9661407470703, Coarse ToA: 140.14871215820312
Ground Truth ToA: 122.56147766113281, Coarse ToA: 125.32524108886719
Ground Truth ToA: 117.58430480957031, Coarse ToA: 117.6292495727539
Ground Truth ToA: 93.1490707397461, Coarse ToA: 92.16181945800781
Ground Truth ToA: 94.24920654296875, Coarse ToA: 93.84015655517578
Ground Truth ToA: 71.28650665283203, Coarse ToA: 72.94496154785156
Ground Truth ToA: 86.5115737915039, Coarse ToA: 86.11741638183594
Ground Truth ToA: 72.14876556396484, Coarse ToA: 71.47444152832031
Ground Truth ToA: 81.03387451171875, Coarse ToA: 79.42037963867188
