Ground Truth ToA: 87.24601745605469, Coarse ToA: 90.92830657958984
Ground Truth ToA: 115.37171173095703, Coarse ToA: 113.22613525390625
Ground Truth ToA: 80.04035949707031, Coarse ToA: 79.41703033447266
Ground Truth ToA: 93.15231323242188, Coarse ToA: 91.91755676269531
Ground Truth ToA: 89.93479919433594, Coarse ToA: 88.48445892333984
Ground Truth ToA: 76.01978302001953, Coarse ToA: 76.6433334350586
Ground Truth ToA: 62.38375473022461, Coarse ToA: 61.91075897216797
Ground Truth ToA: 68.97795867919922, Coarse ToA: 70.39059448242188
Ground Truth ToA: 73.98397827148438, Coarse ToA: 75.9747085571289
Ground Truth ToA: 52.11014938354492, Coarse ToA: 53.41315841674805
Ground Truth ToA: 111.4927749633789, Coarse ToA: 113.4074478149414
Ground Truth ToA: 148.4024200439453, Coarse ToA: 149.39617919921875
Ground Truth ToA: 90.37449645996094, Coarse ToA: 94.46113586425781
Ground Truth ToA: 137.95997619628906, Coarse ToA: 134.51454162597656
Ground Truth ToA: 94.97545623779297, Coarse ToA: 95.78955078125
Ground Truth ToA: 106.78147888183594, Coarse ToA: 104.5896987915039
Ground Truth ToA: 116.78392028808594, Coarse ToA: 123.5547866821289
Ground Truth ToA: 51.2387580871582, Coarse ToA: 50.84681701660156
Ground Truth ToA: 93.3366470336914, Coarse ToA: 93.362060546875
Ground Truth ToA: 59.71989440917969, Coarse ToA: 59.58907699584961
Ground Truth ToA: 134.9228973388672, Coarse ToA: 135.45086669921875
Ground Truth ToA: 60.798091888427734, Coarse ToA: 59.8925666809082
Ground Truth ToA: 136.06466674804688, Coarse ToA: 137.67965698242188
Ground Truth ToA: 89.29473876953125, Coarse ToA: 88.39561462402344
Ground Truth ToA: 71.11939239501953, Coarse ToA: 68.65211486816406
Ground Truth ToA: 51.104469299316406, Coarse ToA: 50.78650665283203
Ground Truth ToA: 76.15242004394531, Coarse ToA: 78.98782348632812
Ground Truth ToA: 57.00355911254883, Coarse ToA: 57.593467712402344
Ground Truth ToA: 137.8868865966797, Coarse ToA: 141.91302490234375
Ground Truth ToA: 105.70352935791016, Coarse ToA: 104.90478515625
Ground Truth ToA: 89.25767517089844, Coarse ToA: 89.26526641845703
Ground Truth ToA: 93.77901458740234, Coarse ToA: 94.83251953125
Ground Truth ToA: 144.02049255371094, Coarse ToA: 144.418212890625
Ground Truth ToA: 90.15074920654297, Coarse ToA: 89.87523651123047
Ground Truth ToA: 126.34088897705078, Coarse ToA: 125.04078674316406
Ground Truth ToA: 71.35749053955078, Coarse ToA: 72.10863494873047
Ground Truth ToA: 54.095638275146484, Coarse ToA: 54.69782638549805
Ground Truth ToA: 112.3090591430664, Coarse ToA: 109.48799896240234
Ground Truth ToA: 79.70689392089844, Coarse ToA: 77.95263671875
Ground Truth ToA: 111.94384765625, Coarse ToA: 110.60446166992188
Ground Truth ToA: 134.021484375, Coarse ToA: 132.82518005371094
Ground Truth ToA: 59.255977630615234, Coarse ToA: 58.19285583496094
Ground Truth ToA: 51.735260009765625, Coarse ToA: 56.2853889465332
Ground Truth ToA: 99.79735565185547, Coarse ToA: 101.9154281616211
Ground Truth ToA: 73.36701965332031, Coarse ToA: 72.45223236083984
Ground Truth ToA: 60.884674072265625, Coarse ToA: 60.5488395690918
Ground Truth ToA: 104.74295043945312, Coarse ToA: 105.82273864746094
Ground Truth ToA: 72.63128662109375, Coarse ToA: 70.7176742553711
Ground Truth ToA: 73.46366882324219, Coarse ToA: 71.65717315673828
Ground Truth ToA: 100.86305236816406, Coarse ToA: 103.795654296875
Ground Truth ToA: 135.9630126953125, Coarse ToA: 137.19537353515625
Ground Truth ToA: 140.55259704589844, Coarse ToA: 138.87974548339844
Ground Truth ToA: 135.0581817626953, Coarse ToA: 134.4092254638672
Ground Truth ToA: 148.25921630859375, Coarse ToA: 148.19351196289062
Ground Truth ToA: 144.8792724609375, Coarse ToA: 142.32383728027344
Ground Truth ToA: 80.1601333618164, Coarse ToA: 80.2462387084961
Ground Truth ToA: 128.012451171875, Coarse ToA: 129.6860809326172
Ground Truth ToA: 64.34671783447266, Coarse ToA: 62.192283630371094
Ground Truth ToA: 53.73152160644531, Coarse ToA: 53.801063537597656
Ground Truth ToA: 114.8397445678711, Coarse ToA: 116.10225677490234
Ground Truth ToA: 71.84305572509766, Coarse ToA: 69.1744613647461
Ground Truth ToA: 110.84390258789062, Coarse ToA: 110.08523559570312
Ground Truth ToA: 149.9095458984375, Coarse ToA: 146.23265075683594
Ground Truth ToA: 55.56190490722656, Coarse ToA: 58.354862213134766
Ground Truth ToA: 141.49380493164062, Coarse ToA: 136.58340454101562
Ground Truth ToA: 91.38249206542969, Coarse ToA: 90.65109252929688
Ground Truth ToA: 59.890296936035156, Coarse ToA: 62.09430694580078
Ground Truth ToA: 115.47076416015625, Coarse ToA: 114.20081329345703
Ground Truth ToA: 63.19878005981445, Coarse ToA: 62.543670654296875
Ground Truth ToA: 61.4849853515625, Coarse ToA: 59.09777069091797
Ground Truth ToA: 135.0528564453125, Coarse ToA: 132.288330078125
Ground Truth ToA: 67.0479965209961, Coarse ToA: 66.58326721191406
Ground Truth ToA: 147.31820678710938, Coarse ToA: 146.98883056640625
Ground Truth ToA: 99.30799865722656, Coarse ToA: 100.73780059814453
Ground Truth ToA: 55.89310073852539, Coarse ToA: 53.27785873413086
Ground Truth ToA: 106.96306610107422, Coarse ToA: 107.14495086669922
Ground Truth ToA: 52.191898345947266, Coarse ToA: 53.59128952026367
Ground Truth ToA: 62.18389892578125, Coarse ToA: 64.18159484863281
Ground Truth ToA: 85.77105712890625, Coarse ToA: 87.00611877441406
Ground Truth ToA: 145.61251831054688, Coarse ToA: 146.58799743652344
Ground Truth ToA: 141.17999267578125, Coarse ToA: 140.06541442871094
Ground Truth ToA: 60.07257080078125, Coarse ToA: 63.344364166259766
Ground Truth ToA: 66.56690979003906, Coarse ToA: 64.62168884277344
Ground Truth ToA: 105.74163818359375, Coarse ToA: 108.37950897216797
Ground Truth ToA: 65.40902709960938, Coarse ToA: 67.07025909423828
Ground Truth ToA: 99.95677185058594, Coarse ToA: 99.6144790649414
Ground Truth ToA: 123.08016204833984, Coarse ToA: 120.31562042236328
Ground Truth ToA: 111.91663360595703, Coarse ToA: 114.26851654052734
Ground Truth ToA: 133.29278564453125, Coarse ToA: 133.04029846191406
Ground Truth ToA: 84.79911804199219, Coarse ToA: 82.53645324707031
Ground Truth ToA: 145.8249969482422, Coarse ToA: 146.12838745117188
Ground Truth ToA: 81.05045318603516, Coarse ToA: 83.64041900634766
Ground Truth ToA: 63.72934341430664, Coarse ToA: 63.09087371826172
Ground Truth ToA: 106.60047149658203, Coarse ToA: 107.43701171875
Ground Truth ToA: 73.00630950927734, Coarse ToA: 76.52047729492188
Ground Truth ToA: 77.09379577636719, Coarse ToA: 76.81605529785156
Ground Truth ToA: 53.319541931152344, Coarse ToA: 53.41850662231445
Ground Truth ToA: 130.27735900878906, Coarse ToA: 132.08294677734375
Ground Truth ToA: 142.33099365234375, Coarse ToA: 143.64202880859375
Ground Truth ToA: 100.03363037109375, Coarse ToA: 98.24122619628906
Ground Truth ToA: 142.70846557617188, Coarse ToA: 140.78868103027344
Ground Truth ToA: 116.51654815673828, Coarse ToA: 119.59237670898438
Ground Truth ToA: 113.16724395751953, Coarse ToA: 111.87357330322266
Ground Truth ToA: 62.37464141845703, Coarse ToA: 60.220279693603516
Ground Truth ToA: 109.63379669189453, Coarse ToA: 109.95980072021484
Ground Truth ToA: 149.08493041992188, Coarse ToA: 150.56919860839844
Ground Truth ToA: 116.82515716552734, Coarse ToA: 115.30723571777344
Ground Truth ToA: 114.62134552001953, Coarse ToA: 114.1062240600586
Ground Truth ToA: 111.8057632446289, Coarse ToA: 112.81752014160156
Ground Truth ToA: 79.66451263427734, Coarse ToA: 79.28984069824219
Ground Truth ToA: 142.90975952148438, Coarse ToA: 140.75765991210938
Ground Truth ToA: 84.06478118896484, Coarse ToA: 83.92047119140625
Ground Truth ToA: 95.3781967163086, Coarse ToA: 98.95761108398438
Ground Truth ToA: 56.31071853637695, Coarse ToA: 57.602691650390625
Ground Truth ToA: 121.41401672363281, Coarse ToA: 118.90216064453125
Ground Truth ToA: 72.43740844726562, Coarse ToA: 71.62004852294922
Ground Truth ToA: 145.57223510742188, Coarse ToA: 143.32937622070312
Ground Truth ToA: 58.92741775512695, Coarse ToA: 59.09278106689453
Ground Truth ToA: 128.87818908691406, Coarse ToA: 131.00840759277344
Ground Truth ToA: 101.75362396240234, Coarse ToA: 101.7841567993164
Ground Truth ToA: 63.0458869934082, Coarse ToA: 63.55562973022461
Ground Truth ToA: 81.47250366210938, Coarse ToA: 83.75118255615234
Ground Truth ToA: 59.1391716003418, Coarse ToA: 58.791534423828125
Ground Truth ToA: 72.06500244140625, Coarse ToA: 73.01876068115234
Ground Truth ToA: 57.45453643798828, Coarse ToA: 55.76591873168945
Ground Truth ToA: 131.43551635742188, Coarse ToA: 134.27516174316406
Ground Truth ToA: 114.76066589355469, Coarse ToA: 111.7303695678711
Ground Truth ToA: 130.61903381347656, Coarse ToA: 129.99273681640625
Ground Truth ToA: 102.89729309082031, Coarse ToA: 102.57427215576172
Ground Truth ToA: 66.06443786621094, Coarse ToA: 65.23165130615234
Ground Truth ToA: 141.72071838378906, Coarse ToA: 142.0021514892578
Ground Truth ToA: 69.59740447998047, Coarse ToA: 67.88277435302734
Ground Truth ToA: 106.55606842041016, Coarse ToA: 106.3354263305664
Ground Truth ToA: 111.21321105957031, Coarse ToA: 109.87882995605469
Ground Truth ToA: 99.05708312988281, Coarse ToA: 94.40294647216797
Ground Truth ToA: 103.17206573486328, Coarse ToA: 101.30411529541016
Ground Truth ToA: 110.14060974121094, Coarse ToA: 107.94107818603516
Ground Truth ToA: 61.86738204956055, Coarse ToA: 61.77800369262695
Ground Truth ToA: 72.82720947265625, Coarse ToA: 74.10881805419922
Ground Truth ToA: 79.08151245117188, Coarse ToA: 78.973388671875
Ground Truth ToA: 95.12529754638672, Coarse ToA: 92.96660614013672
