Epoch [29/200], Batch [101/500], Coarse Loss: 9.0876, Fine Loss: 0.8701
Epoch [29/200], Batch [201/500], Coarse Loss: 4.7064, Fine Loss: 1.4135
Epoch [29/200], Batch [301/500], Coarse Loss: 4.7403, Fine Loss: 1.1678
Epoch [29/200], Batch [401/500], Coarse Loss: 4.1494, Fine Loss: 1.0120
Epoch [30/200], Batch [1/500], Coarse Loss: 4.2662, Fine Loss: 0.8958
Epoch [30/200], Batch [101/500], Coarse Loss: 6.6020, Fine Loss: 0.9872
Epoch [30/200], Batch [201/500], Coarse Loss: 4.9598, Fine Loss: 1.1759
Epoch [30/200], Batch [301/500], Coarse Loss: 5.4445, Fine Loss: 0.8915
Epoch [30/200], Batch [401/500], Coarse Loss: 5.1506, Fine Loss: 1.0466
Epoch [31/200], Batch [1/500], Coarse Loss: 6.2182, Fine Loss: 0.8230
Epoch [31/200], Batch [101/500], Coarse Loss: 8.2926, Fine Loss: 0.8672
Epoch [31/200], Batch [201/500], Coarse Loss: 4.0119, Fine Loss: 0.9609
Epoch [31/200], Batch [301/500], Coarse Loss: 5.7112, Fine Loss: 0.9791
Epoch [31/200], Batch [401/500], Coarse Loss: 4.9087, Fine Loss: 1.6189
Epoch [32/200], Batch [1/500], Coarse Loss: 6.4656, Fine Loss: 1.1567
Epoch [32/200], Batch [101/500], Coarse Loss: 6.8567, Fine Loss: 0.9317
Epoch [32/200], Batch [201/500], Coarse Loss: 4.5113, Fine Loss: 0.9038
Epoch [32/200], Batch [301/500], Coarse Loss: 3.8817, Fine Loss: 1.1896
Epoch [32/200], Batch [401/500], Coarse Loss: 6.6448, Fine Loss: 1.0466
Epoch [33/200], Batch [1/500], Coarse Loss: 3.8601, Fine Loss: 1.0059
Epoch [33/200], Batch [101/500], Coarse Loss: 4.6882, Fine Loss: 1.0835
Epoch [33/200], Batch [201/500], Coarse Loss: 10.1581, Fine Loss: 2.0901
Epoch [33/200], Batch [301/500], Coarse Loss: 7.5494, Fine Loss: 0.9316
Epoch [33/200], Batch [401/500], Coarse Loss: 6.3711, Fine Loss: 1.1721
Epoch [34/200], Batch [1/500], Coarse Loss: 4.2522, Fine Loss: 0.7696
Epoch [34/200], Batch [101/500], Coarse Loss: 4.1540, Fine Loss: 1.0597
Epoch [34/200], Batch [201/500], Coarse Loss: 6.7464, Fine Loss: 0.9214
Epoch [34/200], Batch [301/500], Coarse Loss: 7.9363, Fine Loss: 1.3385
Epoch [34/200], Batch [401/500], Coarse Loss: 3.6455, Fine Loss: 0.8061
Epoch [35/200], Batch [1/500], Coarse Loss: 3.7707, Fine Loss: 0.8416
Epoch [35/200], Batch [101/500], Coarse Loss: 3.9482, Fine Loss: 0.9534
Epoch [35/200], Batch [201/500], Coarse Loss: 3.4364, Fine Loss: 0.7245
Epoch [35/200], Batch [301/500], Coarse Loss: 4.0771, Fine Loss: 0.9694
Epoch [35/200], Batch [401/500], Coarse Loss: 6.7149, Fine Loss: 0.7716
Epoch [36/200], Batch [1/500], Coarse Loss: 5.9471, Fine Loss: 1.4015
Epoch [36/200], Batch [101/500], Coarse Loss: 4.9884, Fine Loss: 1.0110
Epoch [36/200], Batch [201/500], Coarse Loss: 4.1604, Fine Loss: 0.8716
Epoch [36/200], Batch [301/500], Coarse Loss: 4.0618, Fine Loss: 0.8659
Epoch [36/200], Batch [401/500], Coarse Loss: 6.0962, Fine Loss: 0.8885
Epoch [37/200], Batch [1/500], Coarse Loss: 5.4956, Fine Loss: 0.8790
Epoch [37/200], Batch [101/500], Coarse Loss: 3.6375, Fine Loss: 0.9340
Epoch [37/200], Batch [201/500], Coarse Loss: 8.4438, Fine Loss: 1.1805
Epoch [37/200], Batch [301/500], Coarse Loss: 6.0607, Fine Loss: 1.3256
Epoch [37/200], Batch [401/500], Coarse Loss: 3.8667, Fine Loss: 1.0162
Epoch [38/200], Batch [1/500], Coarse Loss: 6.5883, Fine Loss: 1.0993
Epoch [38/200], Batch [101/500], Coarse Loss: 5.3377, Fine Loss: 0.8829
Epoch [38/200], Batch [201/500], Coarse Loss: 9.7478, Fine Loss: 1.6341
Epoch [38/200], Batch [301/500], Coarse Loss: 6.2154, Fine Loss: 0.8245
Epoch [38/200], Batch [401/500], Coarse Loss: 5.3643, Fine Loss: 0.9490
Epoch [39/200], Batch [1/500], Coarse Loss: 3.8804, Fine Loss: 0.7901
Epoch [39/200], Batch [101/500], Coarse Loss: 3.9305, Fine Loss: 0.9774
Epoch [39/200], Batch [201/500], Coarse Loss: 3.7602, Fine Loss: 0.8642
Epoch [39/200], Batch [301/500], Coarse Loss: 4.2888, Fine Loss: 0.9781
Epoch [39/200], Batch [401/500], Coarse Loss: 4.7363, Fine Loss: 1.0900
Epoch [40/200], Batch [1/500], Coarse Loss: 3.8586, Fine Loss: 1.0544
Epoch [40/200], Batch [101/500], Coarse Loss: 5.0799, Fine Loss: 1.0590
Epoch [40/200], Batch [201/500], Coarse Loss: 5.6467, Fine Loss: 0.7959
Epoch [40/200], Batch [301/500], Coarse Loss: 4.6442, Fine Loss: 0.9166
Epoch [40/200], Batch [401/500], Coarse Loss: 5.7653, Fine Loss: 0.9828
Epoch [41/200], Batch [1/500], Coarse Loss: 3.3080, Fine Loss: 0.8405
